Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,return ,preturn ,year,month
T0001,2024-08-02,C2205,Headphones,5.0,420.21,PayPal,unkown,True,False,2024,8
T0002,2020-02-10,C3156,Coffee,469.0,445.3420252539559,Credit Card,Pending,False,True,2020,2
T0004,2020-08-17,C3009,tablet,7.0,868.6083413217348,PayPal,Pending,True,False,2020,8
T0006,2021-10-26,C4241,smartphone,598.0,524.3066615827773,PayPal,Completed,False,False,2021,10
T0013,2020-03-18,C1692,smartphone,564.0,524.3066615827773,Cash,Completed,False,False,2020,3
T0014,2020-06-19,C2992,Coffee,696.0,905.5147299335418,Credit Card,Failed,False,False,2020,6
T0017,2020-07-07,C3776,smartphone,236.0,94.55726526729006,Credit Card,Pending,False,True,2020,7
T0019,2024-02-19,C4871,smartphone,8.0,524.3066615827773,PayPal,Pending,False,False,2024,2
T0024,2023-11-03,C828,Coffee,487.0,524.3066615827773,Cash,unkown,False,False,2023,11
T0025,2022-11-18,C4985,tablet,114.0,276.93632041675164,PayPal,unkown,False,False,2022,11
T0026,2020-01-01,C1096,Coffee,654.0,524.3066615827773,PayPal ,complete,False,False,2020,1
T0030,2021-10-16,C3058,Headphones,5.0,524.3066615827773,PayPal ,Failed,False,False,2021,10
T0031,2024-07-17,C3672,tablet,5.0,787.9940762988269,Credit Card,completed,True,False,2024,7
T0035,2022-07-25,C2579,Coffee,485.0,970.28,Credit Card,Completed,False,False,2022,7
T0038,2020-06-18,C2208,Laptop,8.0,524.3066615827773,Credit Card,Failed,False,False,2020,6
T0041,2023-10-20,C1693,Laptop,865.0,524.3066615827773,Credit Card,Completed,False,False,2023,10
T0042,2021-08-04,C4796,Coffee,8.0,524.3066615827773,Credit Card,Failed,False,False,2021,8
T0049,2020-06-18,C4480,Laptop,762.0,524.3066615827773,Credit Card,Completed,False,False,2020,6
T0052,2022-12-20,C4029,Headphones,839.0,756.3340765354607,PayPal ,Pending,False,True,2022,12
T0053,2022-07-22,C1077,Laptop,559.0,154.18505403344284,Credit Card,Failed,False,False,2022,7
T0055,2024-04-17,C2474,Coffee,867.0,130.23186429200612,Credit Card,Pending,False,False,2024,4
T0069,2021-03-03,C1757,Headphones,5.0,750.9838518199657,Credit Card,complete,True,True,2021,3
T0071,2022-11-15,C1381,Laptop,9.0,524.3066615827773,Cash,unkown,False,False,2022,11
T0073,2021-04-10,C1319,Headphones,9.0,524.3066615827773,Cash,Pending,False,False,2021,4
T0074,2025-01-16,C4509,Laptop,7.0,524.3066615827773,PayPal ,Pending,False,False,2025,1
T0081,2023-02-28,C3687,smartphone,8.0,845.0306396233873,PayPal,Completed,False,True,2023,2
T0087,2020-08-10,C703,Laptop,8.0,600.2502425594328,Cash,Completed,False,True,2020,8
T0093,2024-12-31,C3843,tablet,973.0,784.0773703024178,Credit Card,unkown,False,False,2024,12
T0103,2022-12-04,C327,tablet,10.0,963.4581062931452,PayPal ,complete,True,True,2022,12
T0107,2022-08-24,C4233,Laptop,2.0,524.3066615827773,Credit Card,complete,True,False,2022,8
T0108,2020-12-24,C4889,smartphone,399.0,524.3066615827773,Credit Card,Completed,False,False,2020,12
T0112,2024-09-06,C4249,Laptop,723.0,90.34728588175324,Credit Card,Failed,False,False,2024,9
T0113,2020-04-08,C2894,Headphones,8.0,86.41580941098921,PayPal,complete,True,False,2020,4
T0117,2021-03-29,C4411,tablet,300.0,524.3066615827773,PayPal,Completed,False,False,2021,3
T0122,2021-08-22,C4055,Headphones,603.0,524.3066615827773,PayPal ,Pending,False,False,2021,8
T0129,2021-11-14,C1399,Laptop,996.0,524.3066615827773,PayPal,completed,False,False,2021,11
T0132,2020-08-20,C1736,Laptop,10.0,63.46828347895041,PayPal,Completed,True,True,2020,8
T0133,2021-07-12,C2977,Laptop,137.0,97.98868055300454,Credit Card,Failed,False,True,2021,7
T0136,2024-05-04,C544,tablet,788.0,524.3066615827773,PayPal,completed,False,False,2024,5
T0137,2022-08-04,C4112,Headphones,322.0,557.4354116843066,PayPal ,complete,False,True,2022,8
T0143,2022-06-28,C3555,smartphone,3.0,625.381192727248,Credit Card,Completed,False,False,2022,6
T0144,2020-02-03,C4891,Coffee,8.0,375.97285452626176,PayPal ,complete,False,False,2020,2
T0146,2022-12-14,C3320,smartphone,8.0,524.3066615827773,PayPal,unkown,False,False,2022,12
T0152,2023-04-28,C3177,Laptop,8.0,524.3066615827773,PayPal ,Failed,False,False,2023,4
T0154,2022-01-13,C3826,smartphone,3.0,218.2141312027652,PayPal,unkown,False,True,2022,1
T0155,2020-01-23,C1382,Coffee,6.0,480.0904805246544,PayPal ,complete,True,True,2020,1
T0157,2021-02-01,C2917,Coffee,304.0,863.77,Credit Card,Pending,False,False,2021,2
T17515,2024-11-25,C3287,smartphone,9.0,850.4985899006939,Credit Card,Pending,True,False,2024,11
T0163,2021-08-11,C666,smartphone,8.0,455.46,Credit Card,unkown,False,True,2021,8
T0165,2022-05-30,C316,Coffee,599.0,524.3066615827773,PayPal,Pending,False,False,2022,5
T0167,2021-08-05,C2395,Coffee,547.0,884.3602155938391,Credit Card,Pending,False,True,2021,8
T0175,2020-09-26,C4393,Laptop,505.0,213.46164941734105,Cash,complete,False,False,2020,9
T0177,2025-01-04,C3662,tablet,4.0,460.8278566012473,PayPal ,completed,True,False,2025,1
T0179,2021-08-19,C4160,tablet,622.0,121.8158272059667,Cash,Completed,False,False,2021,8
T0181,2022-05-04,C887,smartphone,359.0,365.48,Credit Card,Failed,False,False,2022,5
T0182,2021-07-24,C4140,Coffee,916.0,516.1081584281587,Credit Card,Pending,False,False,2021,7
T0185,2024-05-14,C4308,smartphone,779.0,388.0390415465828,PayPal,completed,False,False,2024,5
T0187,2024-04-12,C2965,smartphone,1.0,524.3066615827773,Cash,unkown,False,False,2024,4
T0188,2023-08-12,C1159,Laptop,2.0,567.5614912317114,Credit Card,Pending,True,True,2023,8
T0189,2022-08-19,C047,smartphone,10.0,252.64176119515056,PayPal ,complete,False,False,2022,8
T0197,2021-03-08,C4862,Laptop,821.0,524.3066615827773,Credit Card,Pending,False,False,2021,3
T0199,2023-03-11,C3558,Coffee,5.0,524.3066615827773,Credit Card,Pending,False,False,2023,3
T0203,2022-08-28,C4643,Laptop,8.0,524.3066615827773,PayPal,completed,True,False,2022,8
T0204,2021-02-08,C4690,Headphones,258.0,854.4182002616594,Credit Card,unkown,False,False,2021,2
T0209,2024-03-13,C1378,Coffee,586.0,524.3066615827773,Cash,Completed,False,False,2024,3
T0210,2022-03-08,C3762,Coffee,8.0,148.63019474593415,Credit Card,Completed,False,False,2022,3
T0220,2023-10-11,C3610,smartphone,10.0,524.3066615827773,PayPal,unkown,False,False,2023,10
T0221,2020-03-08,C1613,Coffee,3.0,58.03358928393075,Credit Card,Failed,True,False,2020,3
T0225,2023-04-18,C298,tablet,10.0,282.0102882048541,PayPal,Failed,False,False,2023,4
T0228,2022-04-03,C1613,tablet,7.0,524.3066615827773,PayPal ,completed,True,False,2022,4
T0230,2023-06-07,C1387,Headphones,8.0,933.2568077416644,PayPal,completed,True,False,2023,6
T0235,2020-03-31,C4657,Coffee,162.0,524.3066615827773,Credit Card,complete,False,False,2020,3
T0237,2021-03-23,C3835,smartphone,8.0,524.3066615827773,Cash,unkown,False,False,2021,3
T0241,2022-12-09,C2398,Coffee,5.0,643.7099744048677,PayPal,Failed,True,False,2022,12
